cluster,rank,gene,symbol,description,logFC,padj
19,12,PGEN_.00g019610,clptm1,Cleft lip and palate transmembrane protein 1 homolog,0.44,0.9999886039582417
19,13,PGEN_.00g201440,ZCCHC9,Zinc finger CCHC domain-containing protein 9,0.5,0.9999886039582417
19,14,PGEN_.00g055600,,,0.43,0.9999886039582417
19,15,PGEN_.00g276370,PRRC2A,Protein PRRC2A,0.29,0.9999886039582417
20,1,PGEN_.00g230790,sox3,Transcription factor Sox-3,0.42,1.0
20,2,PGEN_.00g254020,NOP56,Nucleolar protein 56,0.3,1.0
20,3,PGEN_.00g073960,CELF2,CUGBP Elav-like family member 2,0.3,1.0
20,4,PGEN_.00g206610,Wasl,Neural Wiskott-Aldrich syndrome protein,0.34,1.0
20,5,PGEN_.00g068110,MYCBP,c-Myc-binding protein,0.55,1.0
20,6,PGEN_.00g208680,ANKRD26,Ankyrin repeat domain-containing protein 26,0.44,1.0
20,7,PGEN_.00g004020,TFAP2A,Transcription factor AP-2-alpha,0.48,1.0
20,8,PGEN_.00g046400,RPS14,40S ribosomal protein S14,0.22,1.0
20,9,PGEN_.00g287480,HSPA5,Endoplasmic reticulum chaperone BiP,0.23,1.0
20,10,PGEN_.00g204780,,,0.39,1.0
20,11,PGEN_.00g270500,COBLL1,Cordon-bleu protein-like 1,0.24,1.0
20,12,PGEN_.00g118660,,,0.38,1.0
20,13,PGEN_.00g042470,,,0.07,1.0
20,14,PGEN_.00g008040,Nipbl,Nipped-B-like protein,0.12,1.0
20,15,PGEN_.00g130880,SERCA,Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type,0.25,1.0
21,1,PGEN_.00g274220,,,0.55,0.9999451162354994
21,2,PGEN_.00g199430,,G2/mitotic-specific cyclin-B,0.3,0.9999451162354994
21,3,PGEN_.00g175210,CHD7,Chromodomain-helicase-DNA-binding protein 7,0.41,0.9999451162354994
21,4,PGEN_.00g060140,MAP3K4,Mitogen-activated protein kinase kinase kinase 4,0.47,0.9999451162354994
21,5,PGEN_.00g191390,ELL,RNA polymerase II elongation factor ELL,0.4,0.9999451162354994
21,6,PGEN_.00g064850,Arid2,AT-rich interactive domain-containing protein 2,0.44,0.9999451162354994
21,7,PGEN_.00g043030,MPRIP,Myosin phosphatase Rho-interacting protein,0.35,0.9999451162354994
21,8,PGEN_.00g129990,14-3-3epsilon,14-3-3 protein epsilon,0.45,0.9999451162354994
21,9,PGEN_.00g272490,,,0.38,0.9999451162354994
21,10,PGEN_.00g131240,Srrm2,Serine/arginine repetitive matrix protein 2,0.31,0.9999451162354994
21,11,PGEN_.00g068700,SHPRH,E3 ubiquitin-protein ligase SHPRH,0.76,0.9999451162354994
21,12,PGEN_.00g254410,,,0.43,0.9999451162354994
21,13,PGEN_.00g063400,Csde1,Cold shock domain-containing protein E1,0.32,0.9999451162354994
21,14,PGEN_.00g329330,casc3,Protein CASC3,0.46,0.9999451162354994
21,15,PGEN_.00g273280,CREM,cAMP-responsive element modulator,0.31,0.9999451162354994
22,1,PGEN_.00g313780,phtf,Protein phtf,0.43,1.0
22,2,PGEN_.00g029570,Tango1,Transport and Golgi organization protein 1,0.47,1.0
22,3,PGEN_.00g076600,Ptp10D,Tyrosine-protein phosphatase 10D,0.67,1.0
22,4,PGEN_.00g251160,CSNK1A1,Casein kinase I isoform alpha,0.28,1.0
22,5,PGEN_.00g330380,Dst,Dystonin,0.34,1.0
22,6,PGEN_.00g237180,KDM6A,Lysine-specific demethylase 6A,0.68,1.0
22,7,PGEN_.00g202440,Hmgcr,3-hydroxy-3-methylglutaryl-coenzyme A reductase,0.74,1.0
22,8,PGEN_.00g030050,otx1b,Homeobox protein OTX1 B,0.39,1.0
22,9,PGEN_.00g236200,RSF1,Remodeling and spacing factor 1,0.34,1.0
22,10,PGEN_.00g264960,Galnt1,Polypeptide N-acetylgalactosaminyltransferase 1 soluble form,0.53,1.0
22,11,PGEN_.00g009020,Atad2,ATPase family AAA domain-containing protein 2,0.24,1.0
22,12,PGEN_.00g177570,,Guanine nucleotide-binding protein G(s) subunit alpha,0.57,1.0
22,13,PGEN_.00g181480,KEG,E3 ubiquitin-protein ligase KEG,0.36,1.0
22,14,PGEN_.00g238290,USP4,Ubiquitin carboxyl-terminal hydrolase 4,0.45,1.0
22,15,PGEN_.00g144570,RPH3AL,Rab effector Noc2,0.28,1.0
23,1,PGEN_.00g069050,Itsn1,Intersectin-1,0.62,0.9999896845078958
23,2,PGEN_.00g091720,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,0.82,0.9999896845078958
23,3,PGEN_.00g244190,,Endothelin-converting enzyme homolog,1.27,0.9999896845078958
23,4,PGEN_.00g255630,adgra3,Adhesion G protein-coupled receptor A3,1.12,0.9999896845078958
23,5,PGEN_.00g164730,SAP30BP,SAP30-binding protein,0.59,0.9999896845078958
23,6,PGEN_.00g007540,SPTLC1,Serine palmitoyltransferase 1,0.8,0.9999896845078958
23,7,PGEN_.00g240620,Rpl35a,60S ribosomal protein L35a,0.44,0.9999896845078958
23,8,PGEN_.00g292950,,,0.85,0.9999896845078958
23,9,PGEN_.00g253860,Cdc25a,M-phase inducer phosphatase 1,0.53,0.9999896845078958
23,10,PGEN_.00g130250,RPL6,60S ribosomal protein L6,0.4,0.9999896845078958
23,11,PGEN_.00g223370,Creld2,Protein disulfide isomerase Creld2,0.83,0.9999896845078958
23,12,PGEN_.00g072300,Utp14a,U3 small nucleolar RNA-associated protein 14 homolog A,0.47,0.9999896845078958
23,13,PGEN_.00g246010,pi4k2b,Phosphatidylinositol 4-kinase type 2-beta,0.43,0.9999896845078958
23,14,PGEN_.00g073410,,,0.58,0.9999896845078958
23,15,PGEN_.00g329770,SVIL,Supervillin,0.59,0.9999896845078958
24,1,PGEN_.00g162840,Fam199x,Protein FAM199X,0.6,1.0
24,2,PGEN_.00g054690,,,0.47,1.0
24,3,PGEN_.00g313780,phtf,Protein phtf,0.51,1.0
24,4,PGEN_.00g336640,,,0.61,1.0
24,5,PGEN_.00g063250,ttk,Dual specificity protein kinase Ttk,0.54,1.0
24,6,PGEN_.00g045220,TUBA3D,Detyrosinated tubulin alpha-3D chain,0.37,1.0
24,7,PGEN_.00g150060,NAA25,N-alpha-acetyltransferase 25 NatB auxiliary subunit,0.56,1.0
24,8,PGEN_.00g070520,,,0.53,1.0
24,9,PGEN_.00g089980,,G2/mitotic-specific cyclin-A,0.34,1.0
24,10,PGEN_.00g130060,TMED2,Transmembrane emp24 domain-containing protein 2,0.63,1.0
24,11,PGEN_.00g104870,LAC,Lachesin,0.47,1.0
24,12,PGEN_.00g162490,,,0.6,1.0
24,13,PGEN_.00g102230,CETN1,Centrin-1,0.49,1.0
24,14,PGEN_.00g033680,Llgl1,Lethal(2) giant larvae protein homolog 1,0.51,1.0
24,15,PGEN_.00g311200,,,0.68,1.0
25,1,PGEN_.00g211610,Lamb1,Laminin subunit beta-1,0.47,0.9999873866636239
25,2,PGEN_.00g023950,tank-1,Poly [ADP-ribose] polymerase tankyrase,0.42,0.9999873866636239
25,3,PGEN_.00g156540,,Protein SPT2 homolog,0.57,0.9999873866636239
25,4,PGEN_.00g305430,FOS-FOX,Transforming protein v-Fos/v-Fox,0.41,0.9999873866636239
25,5,PGEN_.00g011800,TMED10,Transmembrane emp24 domain-containing protein 10,0.5,0.9999873866636239
25,6,PGEN_.00g255870,HSPA9,Stress-70 protein mitochondrial,0.38,0.9999873866636239
25,7,PGEN_.00g150440,SRCAP,Helicase SRCAP,0.29,0.9999873866636239
25,8,PGEN_.00g145700,Rps6kb1,Ribosomal protein S6 kinase beta-1,0.27,0.9999873866636239
25,9,PGEN_.00g219410,SETD5,Histone-lysine N-methyltransferase SETD5,0.28,0.9999873866636239
25,10,PGEN_.00g338380,unc-9,Innexin unc-9,0.33,0.9999873866636239
25,11,PGEN_.00g063040,Ankrd6,Ankyrin repeat domain-containing protein 6,0.45,0.9999873866636239
25,12,PGEN_.00g326680,FOXJ3,Forkhead box protein J3,0.35,0.9999873866636239
25,13,PGEN_.00g236200,RSF1,Remodeling and spacing factor 1,0.32,0.9999873866636239
25,14,PGEN_.00g224750,,,0.38,0.9999873866636239
25,15,PGEN_.00g064190,MACO1,Macoilin,0.23,0.9999873866636239
26,1,PGEN_.00g088370,SPRY1,Protein sprouty homolog 1,0.61,0.9999812651853796
26,2,PGEN_.00g139410,PRKRIP1,PRKR-interacting protein 1,0.59,0.9999812651853796
26,3,PGEN_.00g081880,syd,JNK-interacting protein 3,0.45,0.9999812651853796
26,4,PGEN_.00g320980,EPHB3,Ephrin type-B receptor 3,0.5,0.9999812651853796
26,5,PGEN_.00g056430,eff,Ubiquitin-conjugating enzyme E2-17 kDa,0.49,0.9999812651853796
26,6,PGEN_.00g095980,ft,Ft-mito,0.39,0.9999812651853796
26,7,PGEN_.00g147750,MPHOSPH9,M-phase phosphoprotein 9,0.47,0.9999812651853796
26,8,PGEN_.00g174090,Wwp1,NEDD4-like E3 ubiquitin-protein ligase WWP1,0.49,0.9999812651853796
26,9,PGEN_.00g056440,alyref-b,THO complex subunit 4-B,0.32,0.9999812651853796
26,10,PGEN_.00g091410,Lrrc51,Leucine-rich repeat-containing protein 51,0.7,0.9999812651853796
26,11,PGEN_.00g285930,WHRN,Whirlin,0.86,0.9999812651853796
26,12,PGEN_.00g133000,,,0.34,0.9999812651853796
26,13,PGEN_.00g330380,Dst,Dystonin,0.37,0.9999812651853796
26,14,PGEN_.00g007880,,Actin cytoplasmic intermediate form,0.36,0.9999812651853796
26,15,PGEN_.00g008040,Nipbl,Nipped-B-like protein,0.26,0.9999812651853796
27,1,PGEN_.00g089310,KIF3A,Kinesin-like protein KIF3A,0.91,0.9999658598705063
27,2,PGEN_.00g147540,tchp,Trichoplein keratin filament-binding protein,0.53,0.9999658598705063
27,3,PGEN_.00g143440,,60S acidic ribosomal protein P2,0.36,0.9999658598705063
27,4,PGEN_.00g059760,qki-b,Protein quaking-B,0.38,0.9999658598705063
27,5,PGEN_.00g171960,ZFHX3,Zinc finger homeobox protein 3,0.33,0.9999658598705063
27,6,PGEN_.00g052400,RACK1,Receptor of activated protein C kinase 1,0.39,0.9999658598705063
27,7,PGEN_.00g023990,RAB1A,Ras-related protein Rab-1A,0.67,0.9999658598705063
27,8,PGEN_.00g117420,Hrb98DE,Heterogeneous nuclear ribonucleoprotein A1,0.15,0.9999658598705063
27,9,PGEN_.00g065870,UTP20,Small subunit processome component 20 homolog,1.03,0.9999658598705063
27,10,PGEN_.00g274590,TUBA3D,Detyrosinated tubulin alpha-3D chain,0.49,0.9999658598705063
27,11,PGEN_.00g024500,PPP2R5D,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,0.33,0.9999658598705063
27,12,PGEN_.00g078270,Sec63,Translocation protein SEC63 homolog,0.62,0.9999658598705063
27,13,PGEN_.00g060130,Galnt5,Polypeptide N-acetylgalactosaminyltransferase 5,0.53,0.9999658598705063
27,14,PGEN_.00g232340,Ankmy1,Ankyrin repeat and MYND domain-containing protein 1,0.77,0.9999658598705063
27,15,PGEN_.00g027950,brms1l,Breast cancer metastasis-suppressor 1-like protein,0.7,0.9999658598705063
